filename,width,height,class,xmin,ymin,xmax,ymax
screencapture-cooksvillehyundai-used-vehicle-2018-kia-sportage-lx-id9099145-htm-2018-12-13-19_19_25.jpg,1472,2901,car,827,963,833,972
2.jpg,1677,1585,car,953,463,983,515
screencapture-colonyfordlincoln-new-Ford-2018-Ford-Escape-brampton-toronto-f173a06e0a0e0ae9744ea1ff00ff0e18-htm-2018-12-12-19_49_53.jpg,1472,3623,car,865,773,881,801
screencapture-londoncitychryslerjeep-used-Dodge-2016-Dodge-Journey-bfbdb4c70a0e0a1776af99fe7bce9ff3-htm-2018-11-22-14_44_58.jpg,1920,4361,car,1090,920,1107,948
screencapture-mardenmotors-certified-Toyota-2010-Toyota-Matrix-50a7e0160a0e08bb0f93130b0609dcca-htm-2018-12-01-19_32_32.jpg,1677,3596,car,965,1020,982,1052
screencapture-classichonda-ca-certified-Honda-2015-Honda-Civic-Sedan-517d9c370a0e0c5a0e20a006ad790e69-htm-2018-12-14-12_43_44.jpg,1472,5727,car,921,735,935,759
screencapture-autotrader-ca-a-Jeep-Grand-Cherokee-Perth-Ontario-5_39987829_20160415124622367-2018-12-12-16_48_50.jpg,1472,3447,car,890,595,912,610
screencapture-selecticar-used-vehicle-2014-toyota-corolla-id9040368-htm-2018-12-07-12_51_18.jpg,1680,2465,car,901,528,943,580
screencapture-campbellford-used-vehicle-2013-ford-explorer-limited-sale-price-great-buy-id9096971-htm-2018-12-08-20_32_11.jpg,1680,2533,car,893,600,936,644
screencapture-sunridgenissan-certified-Acura-2016-Acura-MDX-835d8ac70a0e0ae90138d8b4c49d9190-htm-2018-12-13-19_17_03.jpg,1472,2162,car,861,757,880,791
screencapture-kijiji-ca-v-cars-trucks-city-of-toronto-2011-volkswagen-jetta-sedan-comfortline-diesel-1402612284-2018-12-14-12_47_56.jpg,1472,4131,car,1329,2032,1403,2101
screencapture-boltonnissan-ca-used-Nissan-2014-Nissan-Pathfinder-e5d789b40a0e08b97b37551adf3e8884-htm-2018-12-07-17_14_27.jpg,1680,5417,car,1023,734,1041,759
screencapture-automobilecarrera-used-Volkswagen-2014-Volkswagen-Tiguan-da2191b20a0e0c5b09bcfabc55085ab1-htm-2018-12-07-17_49_17.jpg,1680,3484,car,961,689,980,723
screencapture-laurentianchrysler-ca-inventory-used-2011-hyundai-sonata-gl-heated-seats-beautiful-car-a-must-see-front-wheel-drive-4dr-car-5npeb4ac6bh266032-2018-12-12-19_06_58.jpg,1472,4387,car,943,1038,956,1055
screencapture-collectionfinecars-used-vehicle-2014-volkswagen-tiguan-id8826673-htm-2018-12-07-12_49_18.jpg,1680,2791,car,900,690,943,732
screencapture-autoramasuperstore-ca-certified-Toyota-2015-Toyota-Corolla-Toronto-ON-f02aefb00a0e08bd715eb093ea825967-htm-2018-11-23-17_17_02.jpg,1920,3423,car,1086,818,1103,849
screencapture-woodstockhyundai-used-vehicle-2018-hyundai-sonata-24-sport-id9070477-htm-2018-12-12-19_42_04.jpg,1472,2835,car,828,972,833,980
screencapture-northwesttoyota-ca-used-vehicle-2018-toyota-rav4-le-id9084423-htm-2018-12-10-18_56_44.jpg,1472,3307,car,803,736,822,760
screencapture-qewkia-used-Ford-2007-Ford-Escape-c64ebfbc0a0e08bd0aa4aaa1dcfaef71-htm-2018-11-23-17_12_52.jpg,1920,3987,car,1087,753,1103,784
screencapture-niagaraautosales-certified-Buick-2013-Buick-Enclave-f2c10e7f0a0e0a3c76f6addb3b1bb440-htm-2018-12-03-12_18_10.jpg,1677,3286,car,965,640,982,669
screencapture-heuvelmanschev-ca-VehicleDetails-certified-2014-Chevrolet-Cruze-1LT-Chatham-ON-3125405153-2018-12-12-17_40_20.jpg,1473,4537,car,680,1193,695,1218
screencapture-gpchrysler-used-Ram-2017-Ram-1500-1a0018360a0e0adf5737075043820bb6-htm-2018-12-14-11_43_52.jpg,1472,4694,car,908,845,921,867
